Algorithm,Key Comparisons,Execution Time
Merge-Insertion Sort,206048428,3.657000
Merge Sort,183833387,5.722000
Merge-Insertion Sort,206045355,4.846000
Merge Sort,183832565,4.475000
Merge-Insertion Sort,206065345,3.008000
Merge Sort,183831637,4.308000
Merge-Insertion Sort,206069789,3.118000
Merge Sort,183832569,4.120000
Merge-Insertion Sort,206056756,3.070000
Merge Sort,183830627,4.515000
Merge-Insertion Sort,206047926,3.094000
Merge Sort,183832505,4.609000
Merge-Insertion Sort,206040376,3.308000
Merge Sort,183835493,4.332000
Merge-Insertion Sort,206047369,3.099000
Merge Sort,183834540,4.470000
Merge-Insertion Sort,206044012,3.122000
Merge Sort,183833988,4.392000
Merge-Insertion Sort,206059744,2.969000
Merge Sort,183835431,4.163000
Merge-Insertion Sort,206056452,3.001000
Merge Sort,183832215,4.098000
Merge-Insertion Sort,206063948,2.902000
Merge Sort,183832415,3.975000
Merge-Insertion Sort,206038616,2.922000
Merge Sort,183832626,4.030000
Merge-Insertion Sort,206056257,2.879000
Merge Sort,183833742,3.960000
Merge-Insertion Sort,206054004,2.915000
Merge Sort,183834670,4.184000
Merge-Insertion Sort,206043625,2.883000
Merge Sort,183839533,4.059000
Merge-Insertion Sort,206050753,3.059000
Merge Sort,183831062,4.013000
Merge-Insertion Sort,206022755,2.853000
Merge Sort,183834142,3.983000
Merge-Insertion Sort,206046288,2.875000
Merge Sort,183836397,4.001000
Merge-Insertion Sort,206048385,2.883000
Merge Sort,183835400,4.008000
Merge-Insertion Sort,206048718,2.912000
Merge Sort,183833242,4.007000
Merge-Insertion Sort,206058880,2.904000
Merge Sort,183830722,3.986000
Merge-Insertion Sort,206037809,2.896000
Merge Sort,183838945,3.961000
Merge-Insertion Sort,206043268,2.876000
Merge Sort,183837320,4.150000
Merge-Insertion Sort,206048428,2.881000
Merge Sort,183833387,3.999000
Merge-Insertion Sort,206045355,2.827000
Merge Sort,183832565,4.007000
Merge-Insertion Sort,206065345,2.984000
Merge Sort,183831637,4.127000
Merge-Insertion Sort,206069789,2.862000
Merge Sort,183832569,3.953000
Merge-Insertion Sort,206056756,2.840000
Merge Sort,183830627,3.966000
Merge-Insertion Sort,206047926,2.869000
Merge Sort,183832505,3.971000
Merge-Insertion Sort,206040376,2.854000
Merge Sort,183835493,3.959000
Merge-Insertion Sort,206047369,2.831000
Merge Sort,183834540,3.978000
Merge-Insertion Sort,206044012,2.892000
Merge Sort,183833988,4.220000
Merge-Insertion Sort,206059744,2.860000
Merge Sort,183835431,3.983000
Merge-Insertion Sort,206056452,2.877000
Merge Sort,183832215,3.976000
Merge-Insertion Sort,206063948,2.926000
Merge Sort,183832415,4.060000
Merge-Insertion Sort,206038616,2.871000
Merge Sort,183832626,3.957000
Merge-Insertion Sort,206056257,2.924000
Merge Sort,183833742,3.922000
Merge-Insertion Sort,206054004,2.885000
Merge Sort,183834670,4.187000
Merge-Insertion Sort,206043625,3.030000
Merge Sort,183839533,4.027000
Merge-Insertion Sort,206050753,2.953000
Merge Sort,183831062,4.155000
Merge-Insertion Sort,206022755,2.885000
Merge Sort,183834142,3.956000
Merge-Insertion Sort,206046288,2.856000
Merge Sort,183836397,3.948000
Merge-Insertion Sort,206048385,2.848000
Merge Sort,183835400,3.960000
Merge-Insertion Sort,206048718,2.852000
Merge Sort,183833242,3.986000
Merge-Insertion Sort,206058880,2.824000
Merge Sort,183830722,3.964000
Merge-Insertion Sort,206037809,2.885000
Merge Sort,183838945,4.007000
Merge-Insertion Sort,206043268,2.872000
Merge Sort,183837320,3.955000
Merge-Insertion Sort,206048428,2.968000
Merge Sort,183833387,4.020000
Merge-Insertion Sort,206045355,2.919000
Merge Sort,183832565,4.005000