Algorithm,Key Comparisons,Elapsed Time
Merge-Insertion Sort,206061956,2.697000
Merge-Insertion Sort,206037158,2.775000
Merge-Insertion Sort,206035281,2.699000
Merge-Insertion Sort,206062410,2.786000
Merge-Insertion Sort,206046976,2.704000
Merge-Insertion Sort,206055366,2.693000
Merge-Insertion Sort,206048909,2.690000
Merge-Insertion Sort,206044200,2.695000
Merge-Insertion Sort,206047935,2.887000
Merge-Insertion Sort,206057096,2.735000
Merge-Insertion Sort,206024420,2.749000
Merge-Insertion Sort,206047192,2.827000
Merge-Insertion Sort,206052014,2.754000
Merge-Insertion Sort,206051474,2.777000
Merge-Insertion Sort,206035484,2.682000
Merge-Insertion Sort,206045236,2.724000
Merge-Insertion Sort,206051391,2.714000
Merge-Insertion Sort,206023662,2.693000
Merge-Insertion Sort,206048139,2.697000
Merge-Insertion Sort,206049898,2.694000
Merge Sort,183828866,3.669000
Merge Sort,183831918,3.772000
Merge Sort,183833855,3.783000
Merge Sort,183834357,3.723000
Merge Sort,183830747,3.673000
Merge Sort,183835204,3.705000
Merge Sort,183836585,3.675000
Merge Sort,183836505,3.695000
Merge Sort,183831514,3.660000
Merge Sort,183836832,3.730000
Merge Sort,183832277,3.661000
Merge Sort,183832876,3.669000
Merge Sort,183830426,3.657000
Merge Sort,183837309,3.671000
Merge Sort,183833753,3.666000
Merge Sort,183838382,3.651000
Merge Sort,183831034,3.645000
Merge Sort,183831874,3.661000
Merge Sort,183830208,3.698000
Merge Sort,183831749,3.741000